Number;Property;Title;Value;Format;State;Id;
68;7719028495-Scientificdirection;(Архив) Научно-техническое направление;https://data.mos.ru/apiproxy/opendata/7719028495-nauchno-tehnicheskoe-napravlenie/meta.csv;csv;Архивный;553;
69;7719028495-Kindergartencompensating;(Архив) Начальная школа - детский сад компенсирующего вида;https://data.mos.ru/apiproxy/opendata/7719028495-nachalnaya-shkola-detskiy-sad-kompensiruyushchego-vida/meta.csv;csv;Архивный;554;
70;7701236617-DZKHIBgos;Организации, находящиеся в ведомственном подчинении Департамента жилищно-коммунального хозяйства города Москвы;https://data.mos.ru/apiproxy/opendata/7701236617-gosudarstvennye-uchrejdeniya-podvedomstvennye-departamentu-jilishchno-kommunalnogo-hozyaystva-i-blagoustroystva-goroda-moskvy/meta.csv;csv;Активный;499;
71;7707089084-Patientcareforadults;Поликлиническая помощь взрослым;https://data.mos.ru/apiproxy/opendata/7707089084-poliklinicheskaya-pomoshch-vzroslym/meta.csv;csv;Активный;503;
72;7707089084-veteranshospital;Госпитали для ветеранов;https://data.mos.ru/apiproxy/opendata/7707089084-gospitali-dlya-veteranov/meta.csv;csv;Активный;504;
73;7707089084-Womencounseling;Женские консультации;https://data.mos.ru/apiproxy/opendata/7707089084-jenskie-konsultatsii/meta.csv;csv;Активный;509;
74;7707089084-dispensary;Диспансеры;https://data.mos.ru/apiproxy/opendata/7707089084-dispansery/meta.csv;csv;Активный;507;
75;7707089084-donation;Станции переливания крови;https://data.mos.ru/apiproxy/opendata/7707089084-donorstvo/meta.csv;csv;Активный;515;
76;7702155262-culturehouse;Дома культуры и клубы;https://data.mos.ru/apiproxy/opendata/7702155262-doma-kultury-i-kluby/meta.csv;csv;Активный;493;
77;7702155262-MovieTheaters;Кинотеатры;https://data.mos.ru/apiproxy/opendata/7702155262-kinoteatry/meta.csv;csv;Активный;495;
78;7701236617-Pedestriantunnels;Пешеходные тоннели;https://data.mos.ru/apiproxy/opendata/7701236617-peshehodnye-tonneli/meta.csv;csv;Активный;745;
79;7710881420-FuneralSpecializedservices;Специализированные службы по вопросам похоронного дела;https://data.mos.ru/apiproxy/opendata/7710881420-spetsializirovannye-slujby-po-voprosam-pohoronnogo-dela/meta.csv;csv;Активный;749;
80;7719028495-Additionaleducation;(Архив) Реестр образовательных учреждений. Дополнительное образование;https://data.mos.ru/apiproxy/opendata/7719028495-reestr-obrazovatelnyh-uchrejdeniy-dopolnitelnoe-obrazovanie/meta.csv;csv;Архивный;746;
81;7719028495-educationalinstitutionsOverview;(Архив) Реестр образовательных учреждений. Общие сведения;https://data.mos.ru/apiproxy/opendata/7719028495-reestr-obrazovatelnyh-uchrejdeniy-obshchie-svedeniya/meta.csv;csv;Архивный;747;
82;7704786030-Interregionalpassengertransport;Смежные маршруты пассажирских перевозок;https://data.mos.ru/apiproxy/opendata/7704786030-mejregionalnye-marshruty-passajirskih-perevozok/meta.csv;csv;Активный;758;
83;7704786030-routespassengertransport;Согласованные маршруты пассажирских перевозок коммерческими перевозчиками;https://data.mos.ru/apiproxy/opendata/7704786030-soglasovannye-marshruty-passajirskih-perevozok-kommercheskimi-perevozchikami/meta.csv;csv;Активный;760;
84;7704786030-busstations;Автовокзалы и автостанции Москвы;https://data.mos.ru/apiproxy/opendata/7704786030-avtovokzaly-i-avtostantsii-moskvy/meta.csv;csv;Активный;1881;
85;7710878000-Fountains;Фонтаны;https://data.mos.ru/apiproxy/opendata/7710878000-fontany/meta.csv;csv;Активный;981;
86;7710878000-WIFi;Wi-Fi в парках;https://data.mos.ru/apiproxy/opendata/7710878000-wi-fi-v-parkah/meta.csv;csv;Активный;861;
87;7710168515-Tariffs2015;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2015 год;https://data.mos.ru/apiproxy/opendata/7710168515-tarify-na-kommunalnye-uslugi-dlya-naseleniya-goroda-moskvy-na-2015-god/meta.csv;csv;Архивный;1902;
88;7708308010-GolfCourses;Поля для гольфа;https://data.mos.ru/apiproxy/opendata/7708308010-polya-dlya-golfa/meta.csv;csv;Активный;883;
89;7710878000-PayphonesMGTS;(Архив) Таксофоны Московской городской телефонной сети;https://data.mos.ru/apiproxy/opendata/7710878000-taksofony-mgts/meta.csv;csv;Архивный;841;
90;7708308010-Rugbyfield;Поля регбийные;https://data.mos.ru/apiproxy/opendata/7708308010-polya-regbiynye/meta.csv;csv;Активный;885;
91;7708308010-Designatedhorsebackriding;Места катания на лошадях;https://data.mos.ru/apiproxy/opendata/7708308010-mesta-kataniya-na-loshadyah/meta.csv;csv;Активный;1386;
92;7708308010-Shootingranges;Стрелковые тиры;https://data.mos.ru/apiproxy/opendata/7708308010-strelkovye-tiry/meta.csv;csv;Активный;888;
93;7709083955-ShoppingCentersAmusementRides;Аттракционы в торгово-развлекательных комплексах;https://data.mos.ru/apiproxy/opendata/7709083955-attraktsiony-v-torgovyh-tsentrah-i-kompleksah/meta.csv;csv;Активный;3227;
94;7708308010-Shootingrange;Стрельбища;https://data.mos.ru/apiproxy/opendata/7708308010-strelbishcha/meta.csv;csv;Активный;889;
